customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,LTV
2834,Thompson PLC,Chandler,Jeff,(214)518-6952,110 Oak St,Apt 6,Marseille,Île-de-France,75000,France,2407,8899.08,8426.87
8059,"Barnes, Esparza and Poole",Ponce,John,975-914-7354x5880,339 Oak St,Apt 40,Utrecht,Limburg,3511,Netherlands,8467,9681.37,4914.47
7136,"Smith, Jensen and Johnson",Miller,Christopher,+1-687-304-8547x62422,822 Park Ave,Apt 17,Utrecht,Limburg,6211,Netherlands,3323,2744.25,5251.07
2785,Miller-Good,Moore,Elizabeth,+1-421-807-6417x81060,543 Beech Dr,Unit 6A,Charlotte,NC,28201,United States,7156,9467.44,3821.57
1988,"King, Hawkins and Phillips",Burton,Michael,(724)647-4466,49 Oak St,Apt 1,Amsterdam,North Holland,3011,Netherlands,9870,7126.03,2243.07
9917,"Scott, Martinez and Harmon",Murphy,Courtney,(476)805-7206x74392,296 Maple Ave,Apt 6,Seville,Catalonia,41001,Spain,2648,1724.6,6330.06
2115,"Rivera, Stephens and Lee",Blanchard,Susan,253.445.6373,134 Redwood Dr,,Jacksonville,FL,32201,United States,3875,2283.34,6146.93
8502,Livingston PLC,Serrano,Eric,526-885-5292x9966,907 Walnut St,,Fort Worth,TX,76101,United States,4734,1040.59,8266.23
3842,"Drake, Delgado and Braun",Freeman,Michelle,+1-275-211-3694x19565,747 Main St,Apt 13,Barcelona,Andalusia,15001,Spain,6392,1311.02,7790.73
4124,Nolan-Simmons,Floyd,Joanna,271-227-9956,19 High St,Apt 21,Leipzig,Berlin,10115,Germany,9854,1408.88,4523.66
7857,Alvarez-Carroll,Morris,Ronald,(927)210-4425,19 High St,Apt 21,Leipzig,Berlin,10115,Germany,1880,2084.46,7232.8
2853,Lopez Group,Smith,Edward,8538782815,237 Main St,Apt 35,Madrid,Valencia,15001,Spain,7449,1916.32,8241.94
2590,Thompson and Sons,Grant,James,805-952-5337x6820,596 Park Ave,Apt 41,Madrid,Catalonia,28001,Spain,1727,7820.95,6640.19
6304,Carson-Collins,Doyle,Ryan,791-662-6466,753 Chestnut Cir,,New Orleans,LA,70112,United States,7925,2067.17,9835.42
3850,Shields Inc,Gross,Jenna,989.872.9347x1023,248 Maple Ct,,Baltimore,MD,21201,United States,7883,1023.51,7651.13
7643,"Morrow, Johnson and Hansen",Brown,Janet,+1-849-434-7813x240,467 Cedar St,,Anaheim,CA,92801,United States,3236,2019.1,5720.59
1321,Berger-Hammond,Rowe,Molly,001-245-445-2968x65686,951 Oak St,Apt 7A,Tampa,FL,33601,United States,4454,6724.36,9529.08
8914,Walker-Manning,Banks,Austin,980.360.2906x953,110 Oak St,Apt 6,Marseille,Île-de-France,75000,France,6221,5745.98,5428.5
6658,"Mclaughlin, Willis and Weaver",Lyons,Natalie,+1-835-316-2923x31912,907 Walnut St,,Fort Worth,TX,76101,United States,3120,9906.64,6578.41
9203,Smith-Brown,Cooper,Ana,+1-877-439-3976x92416,456 Alder Ave,,Seattle,WA,98101,United States,8021,3170.64,9072.98
9608,"Hayes, Johnson and Durham",Jones,Mary,+1-528-532-9447,358 Main St,Apt 25,Hamburg,Hamburg,60311,Germany,9936,6789.95,6748.85
1225,Thomas-Rodriguez,Lopez,Richard,5229358662,747 Main St,Apt 13,Barcelona,Andalusia,15001,Spain,5676,5916.89,7019.48
6387,"Smith, Harris and Jones",Freeman,Adam,001-741-794-5785x8927,343 Maple Ave,Apt 9,Berlin,Saxony,20095,Germany,6148,3674.92,4665.93
3782,Evans-Allison,Holden,Stephen,001-541-882-7395x25520,793 Oak St,Apt 22,A Coruña,Madrid,08001,Spain,3996,8055.33,1477.03
3301,Dawson-Rogers,Wang,Carrie,4156835566,321 Cypress Cir,,El Paso,TX,79901,United States,2460,5700.4,1415.22
4973,"Cruz, Parker and Mitchell",Kemp,Michael,001-236-222-7059x424,987 Dogwood Rd,,Minneapolis,MN,55401,United States,9919,4356.58,6654.95
2917,"Brown, Robinson and Jenkins",Brown,Sharon,+1-225-233-0771x76116,467 Cedar St,,Anaheim,CA,92801,United States,5487,4992.19,3661.17
4074,White-Martin,Haynes,Mark,5954115790,543 Alder Dr,Suite 15,Kansas City,MO,64101,United States,6634,3102.3,5156.09
4337,Hill PLC,Flores,Derrick,+1-423-443-1539x77282,203 Oak St,Apt 28,Munich,Hamburg,10115,Germany,4362,7957.37,2092.82
7750,"Ewing, Collins and Barker",Chen,Cindy,(901)461-0855x17292,456 Oak Ave,Suite 300,Los Angeles,CA,90001,United States,6152,7915.52,3097.7
9560,"Reid, Phillips and Khan",Davis,Matthew,9363451324,321 Spruce Dr,,Omaha,NE,68101,United States,8477,8788.98,3497.81
2766,Cox-Taylor,Pugh,Donald,(803)342-0040,339 Oak St,Apt 40,Utrecht,Limburg,3511,Netherlands,8243,7046.99,9435.93
2183,"Andrews, Lee and Ortiz",Richards,Travis,(295)810-3675x44709,761 Maple Ave,Apt 19,Milan,Lombardy,00100,Italy,9563,9343.01,2097.71
7650,Warren and Sons,Martin,Cindy,+1-341-978-2218x78653,890 Chestnut Ave,,Fresno,CA,93701,United States,9835,1740.01,1385.21
6474,Davidson Inc,House,Crystal,001-535-342-6898x1959,893 Oak St,Apt 47,Naples,Lombardy,20100,Italy,7093,2374.9,3467.48
3090,"Harper, Short and Morales",Ellis,Michael,(481)365-0467x1600,753 Birch Cir,Suite 4,Portland,OR,97201,United States,6076,1438.39,8026.26
3834,Bowers-Nichols,Brady,Amber,709-465-2860,930 Main St,Apt 32,Utrecht,Utrecht,1012,Netherlands,5201,2647.29,5344.99
6359,Trevino-Fitzpatrick,Jackson,Natalie,+1-227-468-3047,987 Cedar Rd,,Philadelphia,PA,19101,United States,1860,1435.08,8082.06
3094,"Torres, Blanchard and Clark",Deleon,Joseph,364-358-0097,543 Alder Dr,Suite 15,Kansas City,MO,64101,United States,6737,4119.79,9559.77
3200,King and Sons,Hernandez,Pamela,249.887.5525x23409,19 High St,Apt 21,Leipzig,Berlin,10115,Germany,4198,8477.7,7306.6
1441,Rodgers-Christensen,Christensen,Kyle,563.425.7307x0035,679 Redwood Ln,Unit 2C,Tucson,AZ,85701,United States,5113,4499.18,8868.85
